density	name	class
8	ENSG00000202363.1__39411069__39411099__2	up
3	ENSG00000202363.1__39411084__39411114__3	up
5	ENSG00000202400.1__231460386__231460416__2	up
4	ENSG00000202400.1__231460401__231460431__3	up
1	ENSG00000202400.1__231460431__231460440__4	up
3	ENSG00000202503.1__49490904__49490934__1	up
2	ENSG00000202503.1__49490919__49490949__2	up
4	ENSG00000202503.1__49490934__49490964__3	up
4	ENSG00000202529.1__66502080__66502091__4	up
1	ENSG00000202538.1__120291763__120291793__1	up
1	ENSG00000202538.1__120291778__120291808__2	up
1	ENSG00000202538.1__120291793__120291823__3	up
1	ENSG00000202538.1__120291808__120291838__4	up
1	ENSG00000202538.1__120291823__120291853__5	up
1	ENSG00000202538.1__120291838__120291868__6	up
1	ENSG00000202538.1__120291853__120291883__7	up
1	ENSG00000206585.1__148038783__148038813__3	up
1	ENSG00000206596.1__34546744__34546774__3	up
2	ENSG00000206597.1__62665422__62665452__1	up
2	ENSG00000206597.1__62665452__62665482__3	up
2	ENSG00000206597.1__62665467__62665497__4	up
2	ENSG00000206602.1__49491283__49491313__1	up
2	ENSG00000206609.1__25075929__25075959__1	up
14	ENSG00000206611.1__133349411__133349441__2	up
15	ENSG00000206611.1__133349426__133349456__3	up
1	ENSG00000206612.1__48656768__48656782__8	up
4	ENSG00000206620.1__75787072__75787102__1	up
6	ENSG00000206630.1__2155023__2155053__1	up
5	ENSG00000206630.1__2155038__2155068__2	up
5	ENSG00000206630.1__2155053__2155083__3	up
6	ENSG00000206630.1__2155068__2155098__4	up
5	ENSG00000206630.1__2155098__2155105__5	up
1	ENSG00000206651.1__156484173__156484203__6	up
1	ENSG00000206688.1__25085385__25085415__1	up
1	ENSG00000206702.1__13214131__13214161__6	up
1	ENSG00000206702.1__13214146__13214176__7	up
1	ENSG00000206737.1__143729467__143729497__5	up
1	ENSG00000206737.1__143729482__143729512__6	up
1	ENSG00000206737.1__143729497__143729527__7	up
13	ENSG00000206754.1__132815307__132815337__1	up
14	ENSG00000206754.1__132815322__132815352__2	up
14	ENSG00000206754.1__132815337__132815367__3	up
2	ENSG00000206760.1__39408389__39408419__1	up
8	ENSG00000206775.1__3982567__3982572__4	up
1	ENSG00000206799.1__93731069__93731099__7	up
1	ENSG00000206811.1__1962454__1962466__8	up
1	ENSG00000206885.1__231455935__231455936__9	up
5	ENSG00000206941.1__75400481__75400511__7	up
5	ENSG00000206941.1__75400496__75400526__8	up
9	ENSG00000206979.1__136879229__136879259__3	up
9	ENSG00000206979.1__136879259__136879271__4	up
12	ENSG00000206989.1__138561058__138561088__2	up
12	ENSG00000206989.1__138561073__138561103__3	up
3	ENSG00000206989.1__138561103__138561110__4	up
1	ENSG00000207001.1__25054210__25054240__1	up
1	ENSG00000207005.1__16896010__16896040__3	up
1	ENSG00000207005.1__16896025__16896055__4	up
1	ENSG00000207005.1__16896070__16896100__7	up
1	ENSG00000207005.1__16896085__16896115__8	up
1	ENSG00000207005.1__16896100__16896130__9	up
1	ENSG00000207008.1__2963816__2963846__4	up
1	ENSG00000207008.1__2963861__2963891__7	up
1	ENSG00000207016.1__69520163__69520174__8	up
7	ENSG00000207031.1__56645042__56645072__2	up
6	ENSG00000207031.1__56645057__56645087__3	up
5	ENSG00000207047.2__206161878__206161908__1	up
2	ENSG00000207063.1__25051477__25051507__1	up
2	ENSG00000207088.1__129397345__129397348__9	up
1	ENSG00000207093.1__25070432__25070462__1	up
1	ENSG00000207112.1__93730633__93730646__8	up
5	ENSG00000207118.1__123058939__123058969__3	up
3	ENSG00000207137.1__25079058__25079088__1	up
3	ENSG00000207145.1__93733481__93733511__2	up
2	ENSG00000207145.1__93733496__93733526__3	up
1	ENSG00000207145.1__93733586__93733597__8	up
2	ENSG00000207166.1__17862588__17862618__1	up
1	ENSG00000207174.1__25081287__25081317__1	up
1	ENSG00000207181.1__235127923__235127937__8	up
1	ENSG00000207197.1__25077051__25077081__1	up
1	ENSG00000207233.1__54222344__54222374__5	up
1	ENSG00000207233.1__54222359__54222389__6	up
1	ENSG00000207233.1__54222404__54222412__8	up
5	ENSG00000207241.1__75787889__75787919__1	up
5	ENSG00000207241.1__75787904__75787934__2	up
5	ENSG00000207241.1__75787919__75787949__3	up
1	ENSG00000207245.1__25106521__25106551__1	up
1	ENSG00000207263.1__25082768__25082798__1	up
8	ENSG00000207280.1__231456489__231456519__4	up
5	ENSG00000207280.1__231456519__231456523__5	up
2	ENSG00000207304.1__93732376__93732406__2	up
2	ENSG00000207304.1__93732391__93732421__3	up
2	ENSG00000207304.1__93732406__93732436__4	up
2	ENSG00000207304.1__93732421__93732451__5	up
1	ENSG00000207304.1__93732436__93732466__6	up
1	ENSG00000207304.1__93732466__93732496__8	up
1	ENSG00000207304.1__93732496__93732499__9	up
1	ENSG00000207313.1__48667592__48667593__9	up
4	ENSG00000207340.1__148362415__148362445__4	up
4	ENSG00000207340.1__148362430__148362460__5	up
1	ENSG00000207349.1__143699456__143699486__1	up
1	ENSG00000207349.1__143699471__143699501__2	up
1	ENSG00000207349.1__143699486__143699516__3	up
1	ENSG00000207389.1__16740546__16740576__3	up
1	ENSG00000207389.1__16740561__16740591__4	up
1	ENSG00000207389.1__16740576__16740606__5	up
1	ENSG00000207389.1__16740591__16740621__6	up
1	ENSG00000207389.1__16740606__16740636__7	up
1	ENSG00000207389.1__16740621__16740651__8	up
1	ENSG00000207389.1__16740636__16740666__9	up
1	ENSG00000207392.1__159780295__159780325__4	up
1	ENSG00000207392.1__159780310__159780340__5	up
1	ENSG00000207392.1__159780325__159780355__6	up
1	ENSG00000207392.1__159780370__159780381__8	up
2	ENSG00000207405.1__1963093__1963106__8	up
1	ENSG00000207421.1__44778405__44778435__2	up
5	ENSG00000207445.1__75404466__75404496__4	up
5	ENSG00000207445.1__75404481__75404511__5	up
5	ENSG00000207445.1__75404511__75404541__7	up
5	ENSG00000207445.1__75404526__75404556__8	up
1	ENSG00000207460.1__25086527__25086557__1	up
1	ENSG00000207493.1__58548619__58548633__8	up
2	ENSG00000207496.1__12840327__12840357__2	up
2	ENSG00000207496.1__12840417__12840447__8	up
2	ENSG00000207496.1__12840447__12840450__9	up
6	ENSG00000207500.1__27255064__27255094__1	up
5	ENSG00000207500.1__27255079__27255109__2	up
4	ENSG00000207500.1__27255094__27255124__3	up
1	ENSG00000207513.1__16666785__16666815__1	up
1	ENSG00000207513.1__16666800__16666830__2	up
1	ENSG00000207513.1__16666815__16666845__3	up
1	ENSG00000207523.1__92840719__92840749__1	up
1	ENSG00000207607.3__1167863__1167893__1	up
2	ENSG00000207607.3__1167878__1167908__2	up
1	ENSG00000207607.3__1167893__1167923__3	up
1	ENSG00000207607.3__1167908__1167938__4	up
2	ENSG00000207639.1__14303997__14304027__3	up
2	ENSG00000207639.1__14304012__14304042__4	up
2	ENSG00000207726.3__114209434__114209464__1	up
1	ENSG00000207726.3__114209449__114209479__2	up
4	ENSG00000207726.3__114209464__114209494__3	up
4	ENSG00000207726.3__114209479__114209509__4	up
1	ENSG00000207730.3__1167119__1167149__2	up
1	ENSG00000207730.3__1167134__1167164__3	up
1	ENSG00000207730.3__1167149__1167179__4	up
1	ENSG00000207805.3__2134134__2134164__1	up
1	ENSG00000207805.3__2134149__2134179__2	up
1	ENSG00000207805.3__2134179__2134209__4	up
1	ENSG00000207818.1__152394457__152394487__4	up
1	ENSG00000208027.4__101055434__101055464__2	up
1	ENSG00000208027.4__101055449__101055479__3	up
4	ENSG00000208772.1__86135870__86135900__1	up
4	ENSG00000208772.1__86135960__86135990__7	up
3	ENSG00000209042.1__49278940__49278970__1	up
2	ENSG00000209042.1__49278955__49278985__2	up
2	ENSG00000209042.1__49278970__49279000__3	up
3	ENSG00000209042.1__49278985__49279015__4	up
1	ENSG00000209480.1__39313834__39313864__2	up
1	ENSG00000209480.1__39313849__39313879__3	up
1	ENSG00000209480.1__39313864__39313894__4	up
1	ENSG00000209480.1__39313879__39313909__5	up
2	ENSG00000209482.1__39315243__39315273__3	up
2	ENSG00000209482.1__39315258__39315288__4	up
2	ENSG00000209482.1__39315273__39315303__5	up
2	ENSG00000209482.1__39315303__39315307__6	up
1	ENSG00000209582.1__7574713__7574743__1	up
1	ENSG00000209582.1__7574728__7574758__2	up
4	ENSG00000209645.1__10107651__10107681__1	up
4	ENSG00000209645.1__10107666__10107696__2	up
4	ENSG00000209645.1__10107681__10107711__3	up
2	ENSG00000209702.1__12706464__12706494__2	up
1	ENSG00000209702.1__12706509__12706518__4	up
1	ENSG00000210825.1__93735231__93735236__8	up
3	ENSG00000212135.1__46762404__46762434__2	up
3	ENSG00000212135.1__46762419__46762449__3	up
3	ENSG00000212135.1__46762494__46762499__7	up
1	ENSG00000212158.1__184325726__184325756__3	up
2	ENSG00000212158.1__184325741__184325771__4	up
2	ENSG00000212163.5__2330360__2330370__12	up
2	ENSG00000212232.1__17962755__17962785__4	up
4	ENSG00000212232.1__17962770__17962800__5	up
3	ENSG00000212232.1__17962785__17962815__6	up
6	ENSG00000212232.1__17962800__17962830__7	up
2	ENSG00000212232.1__17962890__17962920__13	up
2	ENSG00000212232.1__17962905__17962935__14	up
1	ENSG00000212232.1__17962935__17962946__15	up
8	ENSG00000212283.1__101272951__101272981__2	up
7	ENSG00000212283.1__101273041__101273049__7	up
16	ENSG00000212296.1__40832701__40832731__4	up
5	ENSG00000212304.1__49280683__49280713__1	up
4	ENSG00000212304.1__49280698__49280728__2	up
3	ENSG00000212304.1__49280713__49280743__3	up
13	ENSG00000212309.1__202278108__202278138__1	up
3	ENSG00000212443.1__98599800__98599830__12	up
14	ENSG00000212447.1__122880228__122880258__2	up
15	ENSG00000212447.1__122880243__122880273__3	up
13	ENSG00000212447.1__122880258__122880288__4	up
12	ENSG00000212447.1__122880273__122880303__5	up
10	ENSG00000212447.1__122880288__122880318__6	up
1	ENSG00000212452.1__52692736__52692766__1	up
1	ENSG00000212452.1__52692751__52692781__2	up
1	ENSG00000212452.1__52692766__52692796__3	up
3	ENSG00000212498.1__2656097__2656127__1	up
13	ENSG00000212534.1__202276431__202276461__1	up
2	ENSG00000212588.1__52713324__52713354__6	up
1	ENSG00000212607.1__8685454__8685484__2	up
1	ENSG00000212607.1__8685469__8685499__3	up
4	ENSG00000215417.12__91351108__91351138__104	up
3	ENSG00000215417.12__91351123__91351153__105	up
3	ENSG00000220988.1__50802358__50802388__3	up
3	ENSG00000220988.1__50802373__50802403__4	up
3	ENSG00000220988.1__50802388__50802418__5	up
8	ENSG00000221066.1__70538005__70538035__1	up
1	ENSG00000221164.1__73126200__73126207__8	up
2	ENSG00000221241.1__50799472__50799502__3	up
2	ENSG00000221241.1__50799487__50799517__4	up
2	ENSG00000221241.1__50799502__50799532__5	up
8	ENSG00000221381.1__50799092__50799122__5	up
1	ENSG00000221500.1__132816802__132816832__1	up
1	ENSG00000221500.1__132816817__132816847__2	up
8	ENSG00000221514.1__70529509__70529539__1	up
8	ENSG00000221514.1__70529524__70529554__2	up
8	ENSG00000221514.1__70529539__70529569__3	up
8	ENSG00000221514.1__70529554__70529584__4	up
11	ENSG00000221539.1__28578749__28578779__1	up
11	ENSG00000221539.1__28578764__28578794__2	up
9	ENSG00000221539.1__28578779__28578809__3	up
2	ENSG00000221539.1__28578809__28578822__4	up
1	ENSG00000221563.1__66276869__66276899__4	up
1	ENSG00000221563.1__66276884__66276914__5	up
4	ENSG00000221585.1__47849585__47849615__3	up
6	ENSG00000221740.1__22856613__22856643__1	up
8	ENSG00000221740.1__22856628__22856658__2	up
8	ENSG00000221740.1__22856643__22856673__3	up
1	ENSG00000222076.1__95745879__95745909__6	up
1	ENSG00000222076.1__95745894__95745924__7	up
6	ENSG00000222276.1__96384699__96384729__6	up
6	ENSG00000222276.1__96384714__96384744__7	up
1	ENSG00000222293.1__86422938__86422968__1	up
1	ENSG00000222293.1__86422953__86422983__2	up
13	ENSG00000222293.1__86423013__86423043__6	up
16	ENSG00000222293.1__86423028__86423058__7	up
16	ENSG00000222293.1__86423043__86423073__8	up
8	ENSG00000222328.1__62841619__62841649__1	up
8	ENSG00000222328.1__62841634__62841664__2	up
9	ENSG00000222328.1__62841649__62841679__3	up
9	ENSG00000222328.1__62841664__62841694__4	up
9	ENSG00000222328.1__62841679__62841709__5	up
11	ENSG00000222328.1__62841694__62841724__6	up
11	ENSG00000222328.1__62841709__62841739__7	up
11	ENSG00000222328.1__62841724__62841754__8	up
11	ENSG00000222328.1__62841739__62841769__9	up
7	ENSG00000222328.1__62841754__62841784__10	up
6	ENSG00000222328.1__62841769__62841799__11	up
7	ENSG00000222345.1__52691378__52691408__1	up
12	ENSG00000222345.1__52691393__52691423__2	up
12	ENSG00000222345.1__52691408__52691438__3	up
5	ENSG00000222355.1__53776211__53776241__6	up
5	ENSG00000222355.1__53776226__53776256__7	up
6	ENSG00000222365.1__49280319__49280349__1	up
6	ENSG00000222365.1__49280334__49280364__2	up
6	ENSG00000222365.1__49280349__49280379__3	up
3	ENSG00000222414.1__101364845__101364875__1	up
3	ENSG00000222414.1__101364860__101364890__2	up
2	ENSG00000222414.1__101364875__101364905__3	up
2	ENSG00000222414.1__101364920__101364950__6	up
1	ENSG00000222489.1__20323314__20323326__9	up
2	ENSG00000222536.1__72721881__72721911__6	up
6	ENSG00000222626.1__157976841__157976871__6	up
6	ENSG00000222626.1__157976856__157976886__7	up
10	ENSG00000222627.1__128075148__128075178__6	up
10	ENSG00000222627.1__128075163__128075193__7	up
3	ENSG00000222650.1__236267840__236267870__5	up
3	ENSG00000222650.1__236267855__236267885__6	up
4	ENSG00000222726.1__20612221__20612251__5	up
4	ENSG00000222726.1__20612236__20612266__6	up
9	ENSG00000222810.1__72377054__72377084__6	up
9	ENSG00000222810.1__72377069__72377099__7	up
2	ENSG00000222937.1__138559030__138559039__4	up
1	ENSG00000222985.1__65124427__65124457__6	up
1	ENSG00000222985.1__65124442__65124472__7	up
16	ENSG00000223001.1__89063575__89063605__6	up
16	ENSG00000223001.1__89063590__89063620__7	up
2	ENSG00000223125.1__41468031__41468061__6	up
1	ENSG00000223125.1__41468046__41468076__7	up
5	ENSG00000223224.1__71758447__71758477__4	up
5	ENSG00000223224.1__71758477__71758487__5	up
6	ENSG00000223247.1__73111067__73111097__6	up
6	ENSG00000223247.1__73111082__73111112__7	up
2	ENSG00000223336.1__46374476__46374506__6	up
3	ENSG00000223336.1__46374491__46374521__7	up
3	ENSG00000223336.1__46374581__46374590__12	up
1	ENSG00000225091.3__38427429__38427442__8	up
9	ENSG00000226572.1__2656939__2656969__1	up
9	ENSG00000226572.1__2656954__2656984__2	up
9	ENSG00000226572.1__2656969__2656999__3	up
1	ENSG00000227634.2__8208727__8208757__34	up
1	ENSG00000227634.2__8208742__8208772__35	up
8	ENSG00000229686.1__2656624__2656654__1	up
1	ENSG00000231587.1__131490486__131490516__1	up
2	ENSG00000231587.1__131490501__131490531__2	up
6	ENSG00000234741.7__173864362__173864392__35	up
5	ENSG00000234741.7__173864377__173864407__36	up
7	ENSG00000234741.7__173864392__173864422__37	up
6	ENSG00000234741.7__173864407__173864437__38	up
8	ENSG00000234741.7__173864422__173864452__39	up
8	ENSG00000234741.7__173864437__173864467__40	up
6	ENSG00000234741.7__173864842__173864872__67	up
6	ENSG00000234741.7__173864857__173864887__68	up
6	ENSG00000234741.7__173864872__173864902__69	up
6	ENSG00000234741.7__173864887__173864917__70	up
6	ENSG00000234741.7__173864902__173864932__71	up
1	ENSG00000234741.7__173866648__173866678__12	up
1	ENSG00000234741.7__173866663__173866693__13	up
3	ENSG00000234741.7__173866693__173866723__15	up
4	ENSG00000234741.7__173866708__173866738__16	up
8	ENSG00000235284.1__131485665__131485695__1	up
8	ENSG00000235284.1__131485680__131485710__2	up
1	ENSG00000235408.5__38425203__38425233__9	up
1	ENSG00000235408.5__38425218__38425248__10	up
1	ENSG00000235408.5__38425308__38425338__16	up
1	ENSG00000235408.5__38425323__38425353__17	up
8	ENSG00000238300.1__33934341__33934371__4	up
12	ENSG00000238317.2__202293051__202293081__1	up
16	ENSG00000238423.1__28720550__28720580__1	up
8	ENSG00000238531.1__10109757__10109787__1	up
6	ENSG00000238531.1__10109772__10109802__2	up
6	ENSG00000238531.1__10109787__10109817__3	up
5	ENSG00000238578.1__28722582__28722612__1	up
1	ENSG00000238622.1__10801602__10801608__9	up
10	ENSG00000238649.1__28723429__28723459__1	up
10	ENSG00000238649.1__28723444__28723474__2	up
10	ENSG00000238649.1__28723459__28723489__3	up
4	ENSG00000238793.1__40027632__40027645__6	up
2	ENSG00000238795.1__6967592__6967606__17	up
1	ENSG00000238835.1__83064324__83064337__8	up
4	ENSG00000238862.1__52690744__52690774__1	up
4	ENSG00000238862.1__52690759__52690789__2	up
4	ENSG00000238862.1__52690774__52690804__3	up
9	ENSG00000238886.1__33952799__33952829__3	up
9	ENSG00000238886.1__33952814__33952844__4	up
4	ENSG00000238917.1__7576811__7576841__1	up
4	ENSG00000238917.1__7576826__7576856__2	up
5	ENSG00000238917.1__7576856__7576886__4	up
7	ENSG00000238917.1__7576901__7576931__7	up
7	ENSG00000238917.1__7576916__7576946__8	up
12	ENSG00000238942.1__186784796__186784826__1	up
11	ENSG00000238942.1__186784811__186784841__2	up
12	ENSG00000238942.1__186784826__186784856__3	up
1	ENSG00000238959.1__73027808__73027838__1	up
1	ENSG00000238959.1__73027823__73027853__2	up
1	ENSG00000238961.1__77080569__77080571__9	up
7	ENSG00000239002.3__6510222__6510252__1	up
7	ENSG00000239002.3__6510267__6510297__4	up
6	ENSG00000239002.3__6510282__6510312__5	up
5	ENSG00000239002.3__6510297__6510327__6	up
1	ENSG00000239039.1__33513475__33513505__1	up
1	ENSG00000239039.1__33513490__33513520__2	up
3	ENSG00000239039.1__33513505__33513535__3	up
6	ENSG00000239039.1__33513520__33513550__4	up
5	ENSG00000239039.1__33513535__33513565__5	up
6	ENSG00000239043.1__45110883__45110913__1	up
1	ENSG00000239183.1__92292581__92292593__8	up
5	ENSG00000239195.1__93733243__93733273__2	up
5	ENSG00000239195.1__93733258__93733288__3	up
3	ENSG00000239195.1__93733288__93733300__4	up
2	ENSG00000245532.7__65439088__65439118__1087	up
2	ENSG00000245532.7__65439103__65439133__1088	up
70	ENSG00000247809.7__96282922__96282952__35	up
1	ENSG00000249020.1__131479127__131479157__3	up
1	ENSG00000249020.1__131479142__131479172__4	up
9	ENSG00000251562.7__65499622__65499652__125	up
11	ENSG00000251562.7__65499637__65499667__126	up
1	ENSG00000251562.7__65503042__65503072__353	up
2	ENSG00000251815.1__25099499__25099529__1	up
1	ENSG00000251896.1__25101575__25101605__1	up
3	ENSG00000251994.1__9518194__9518224__6	up
2	ENSG00000251994.1__9518209__9518239__7	up
3	ENSG00000252212.1__59129366__59129396__7	up
2	ENSG00000252326.1__25097663__25097693__1	up
1	ENSG00000252635.1__18265765__18265795__6	up
1	ENSG00000253051.1__45336434__45336447__8	up
2	ENSG00000254341.2__66922482__66922512__2	up
1	ENSG00000254341.2__66922542__66922555__5	up
3	ENSG00000255717.6__62853366__62853396__123	up
3	ENSG00000255717.6__62853381__62853411__124	up
1	ENSG00000255717.6__62853906__62853936__76	up
1	ENSG00000255717.6__62853921__62853951__77	up
2	ENSG00000255717.6__62853936__62853966__78	up
4	ENSG00000255717.6__62853951__62853981__79	up
3	ENSG00000255717.6__62853966__62853996__80	up
2	ENSG00000255717.6__62855338__62855368__31	up
2	ENSG00000255717.6__62855353__62855383__32	up
1	ENSG00000255823.4__10508937__10508967__71	up
19	ENSG00000257704.3__47274558__47274588__8	up
1	ENSG00000259932.1__45198577__45198607__5	up
1	ENSG00000259932.1__45198592__45198622__6	up
6	ENSG00000260035.1__45200385__45200415__5	up
6	ENSG00000260035.1__45200400__45200430__6	up
8	ENSG00000263764.1__39319065__39319095__2	up
8	ENSG00000263764.1__39319080__39319110__3	up
4	ENSG00000263764.1__39319110__39319113__4	up
1	ENSG00000263776.1__186787612__186787642__1	up
3	ENSG00000264549.1__181243312__181243342__1	up
3	ENSG00000264549.1__181243327__181243357__2	up
2	ENSG00000264549.1__181243342__181243372__3	up
8	ENSG00000264940.4__19190145__19190175__33	up
8	ENSG00000264940.4__19190160__19190190__34	up
2	ENSG00000264940.4__19190205__19190235__37	up
5	ENSG00000264994.1__28913664__28913694__1	up
6	ENSG00000264994.1__28913679__28913709__2	up
6	ENSG00000264994.1__28913694__28913724__3	up
2	ENSG00000265145.1__28927067__28927097__1	up
5	ENSG00000265185.5__19061972__19062002__5	up
5	ENSG00000265185.5__19061987__19062017__6	up
2	ENSG00000265185.5__19062002__19062032__7	up
19	ENSG00000265185.5__19062047__19062077__10	up
60	ENSG00000265185.5__19062062__19062092__11	up
65	ENSG00000265185.5__19062077__19062107__12	up
65	ENSG00000265185.5__19062092__19062122__13	up
7	ENSG00000265206.5__58331214__58331244__23	up
9	ENSG00000265206.5__58331229__58331259__24	up
3	ENSG00000265236.1__31541116__31541146__2	up
2	ENSG00000265236.1__31541131__31541161__3	up
1	ENSG00000265236.1__31541146__31541176__4	up
2	ENSG00000265706.1__28927983__28928013__1	up
1	ENSG00000265706.1__28927998__28928028__2	up
2	ENSG00000265706.1__28928013__28928043__3	up
8	ENSG00000266019.1__98881680__98881710__3	up
10	ENSG00000266019.1__98881695__98881725__4	up
1	ENSG00000267391.4__58451094__58451124__124	up
1	ENSG00000267391.4__58451109__58451139__125	up
1	ENSG00000269028.3__96617473__96617503__20	up
9	ENSG00000270066.3__109100508__109100538__22	up
4	ENSG00000270066.3__109100523__109100553__23	up
1	ENSG00000270066.3__109100553__109100583__25	up
1	ENSG00000270722.1__145465692__145465722__6	up
1	ENSG00000270722.1__145465707__145465737__7	up
3	ENSG00000271982.1__49491724__49491729__4	up
7	ENSG00000272034.1__17074714__17074744__5	up
5	ENSG00000272296.1__181241829__181241859__2	up
4	ENSG00000272296.1__181241844__181241874__3	up
1	ENSG00000272296.1__181241859__181241889__4	up
1	ENSG00000272296.1__181241889__181241892__5	up
1	ENSG00000273544.1__28580501__28580512__8	up
1	ENSG00000273768.1__146376897__146376927__7	up
1	ENSG00000273768.1__146376912__146376942__8	up
1	ENSG00000273768.1__146376927__146376957__9	up
16	ENSG00000273885.1__93721797__93721827__1	up
18	ENSG00000273885.1__93721812__93721842__2	up
17	ENSG00000273885.1__93721827__93721857__3	up
1	ENSG00000274012.1__49862655__49862685__8	up
1	ENSG00000274012.1__49862670__49862700__9	up
3	ENSG00000274091.1__76558791__76558821__1	up
2	ENSG00000274210.1__148522691__148522721__7	up
1	ENSG00000274266.1__28507456__28507486__7	up
1	ENSG00000274266.1__28507471__28507501__8	up
25	ENSG00000274452.1__43290291__43290321__1	up
